Zone,Coordinates,Description
Northern San d'Oria,(E-8),Near the entrance to Chateau d'Oraguille / by the Home Point
Bastok Mines,(I-9),Near the President's Office / Home Point
Port Windurst,(B-5),Near the Warp NPC / Home Point area
Ru'Lude Gardens,(I-10),Jeuno - near the Home Point at the palace entrance
Tavnazian Safehold,(H-6),Near the entrance to Lufaise Meadows
Aht Urhgan Whitegate,(L-8),Near the Chamber of Passage / central area
West Ronfaure,(G-9),Near the regional outpost / conquest area
Fort Ghelsba,(F-8),Near the zone to Ghelsba Outpost
Bostaunieux Oubliette,(I-6),Map 2 - at the drop-down point from the first map after entering from Chateau d'Oraguille
King Ranperre's Tomb,(G-5),Near the zone to East Ronfaure
La Theine Plateau,(M-8),Near the regional outpost
Valkurm Dunes,(H-7),Near the regional outpost / Selbina zone
Konschtat Highlands,(G-3),Near the regional outpost
Ordelle's Caves,(G-3),Near zone from La Theine Plateau
Gusgen Mines,(H-9),Near zone from Konschtat Highlands
Carpenters' Landing,(J-10),South landing dock area
Jugner Forest,(I-8),Near the regional outpost
Batallia Downs,(H-5),Near the regional outpost
Davoi,(J-7),Near zone from Jugner Forest
The Eldieme Necropolis,(J-9),Near the entrance from Batallia Downs
North Gustaberg,(D-10),Near the regional outpost
Zeruhn Mines,(I-7),Near the entrance from Bastok Mines
Korroloka Tunnel,(C-9),Map 2 - near zone from Eastern Altepa Desert
Dangruf Wadi,(K-10),Near zone from North Gustaberg
Pashhow Marshlands,(K-6),Near the regional outpost
Rolanberry Fields,(G-6),Near the regional outpost
Beadeaux,(E-7),Near zone from Pashhow Marshlands
Crawlers' Nest,(M-8),Near main entrance from Rolanberry Fields
West Sarutabaruta,(H-6),Near the regional outpost
Toraimarai Canal,(F-5),Near entrance from Windurst Walls
Inner Horutoto Ruins,(I-7),Lily Tower - near main exit to East Sarutabaruta
Bibiki Bay,(H-7),Purgonorgo Isle area
Tahrongi Canyon,(G-4),Near the regional outpost
Buburimu Peninsula,(E-7),Near the regional outpost / Mhaura zone
Maze of Shakhrami,(C-9),Near zone from Tahrongi Canyon
Labyrinth of Onzozo,(G-11),Near zone from Buburimu Peninsula
Meriphataud Mountains,(E-5),Near the regional outpost
Sauromugue Champaign,(J-10),Near the regional outpost
Castle Oztroja,(F-8),Near main entrance from Meriphataud Mountains
Garlaige Citadel,(G-7),Near main entrance from Sauromugue Champaign
Beaucedine Glacier,(H-9),Near the regional outpost
Ranguemont Pass,(F-11),Near zone from Beaucedine Glacier
Xarcabard,(H-9),Near the regional outpost
Castle Zvahl Baileys,(J-8),Near main entrance from Xarcabard
Qufim Island,(G-6),Near the regional outpost
Behemoth's Dominion,(L-9),Near zone from Qufim Island
Lower Delkfutt's Tower,(H-10),First Floor - near main entrance from Qufim Island
The Sanctuary of Zi'Tah,(H-9),Near the regional outpost
Ro'Maeve,(H-6),Near zone from The Sanctuary of Zi'Tah
Dragon's Aery,(F-9),Near zone from The Sanctuary of Zi'Tah
