Zone,HomePoint,Coordinates,Description
Southern San d'Oria,#1,(G-10),(E) Near East Ronfaure zone / entrance to King Ranperre's Tomb area
Southern San d'Oria,#2,(J-9),(A) Near Auction House / main plaza
Southern San d'Oria,#3,(M-5),(M) Near Mog House exit / North gate
Southern San d'Oria,#4,(E-8),Southwestern area of town
Northern San d'Oria,#1,(E-8),(E) Southwest area near West Ronfaure zone
Northern San d'Oria,#2,(J-7),Central northern district
Northern San d'Oria,#3,(K-9),(M) Near Mog House / Cathedral area
Northern San d'Oria,#4,(F-5),Northwestern part of town
Port San d'Oria,#1,(G-9),Central area near La Vaule staging point
Port San d'Oria,#2,(J-9),(M) Near Mog House exit
Port San d'Oria,#3,(H-10),(A) Southern area near docks/Auction House
Bastok Mines,#1,(I-8),(A) Near Auction House
Bastok Mines,#2,(K-8),(M) Near Mog House exit
Bastok Mines,#3,(K-7),Northern area of the Mines
Bastok Markets,#1,(F-9),(E) Southwest near zone to South Gustaberg
Bastok Markets,#2,(E-7),(A) Near Auction House
Bastok Markets,#3,(I-6),(M) Near Mog House / north end of Markets
Bastok Markets,#4,(I-8),Eastern side of Markets
Port Bastok,#1,(J-7),(E) Near zone into Bastok Markets
Port Bastok,#2,(J-13),(M) Near Mog House / lower southern area
Port Bastok,#3,(E-6),Western docks/warehouse area
Metalworks,#1,(I-8),Upstairs next to the Presidential Aide's Office
Metalworks,#2,(F-8),Downstairs near the Smithing Guild
Windurst Waters,#1,(G-7),(E) Waters North near zone to East Sarutabaruta
Windurst Waters,#2,(K-11),(M) Waters North near Mog House exit
Windurst Waters,#3,(J-8),Waters South
Windurst Waters,#4,(E-9),Waters North (northwest section)
Windurst Walls,#1,(F-7),Near Rhinostery / central Walls area
Windurst Walls,#2,(C-12),(M) Near Mog House exit
Windurst Walls,#3,(I-11),(A) Near Auction House / Heavens Tower entrance
Port Windurst,#1,(C-7),Central Port area
Port Windurst,#2,(B-4),(E) Near Shiva's Gate / zone to West Sarutabaruta
Port Windurst,#3,(L-4),(M) Near Mog House exit
Windurst Woods,#1,(H-9),Central Woods
Windurst Woods,#2,(K-10),(E) Near zone to East Sarutabaruta
Windurst Woods,#3,(F-7),(M) Near Mog House exit
Windurst Woods,#4,(J-12),(A) Near Auction House
Windurst Woods,#5,(G-13),Southern Woods area
Ru'Lude Gardens,#1,(H-8),Central plaza
Ru'Lude Gardens,#2,(I-9),(M) Near Mog House exit
Ru'Lude Gardens,#3,(F-9),(A) Near Auction House (western wing)
Upper Jeuno,#1,(F-5),(E) Near zone to Ru'Lude Gardens
Upper Jeuno,#2,(I-11),(M) Near Mog House exit
Upper Jeuno,#3,(G-9),(A) Near Infirmary/Auction House
Lower Jeuno,#1,(G-11),(E) Near zone from Upper Jeuno
Lower Jeuno,#2,(I-5),(M) Near Mog House exit / Auction House
