Category,NPC_Name,Zone,Coordinates,Description,Destinations
Chocobo,Camereine,Southern San d'Oria,(I-11),Chocobo Renter at Chocobo Stables,Rents chocobo for exploring West/East Ronfaure & Jugner
Chocobo,Emoussinc,Southern San d'Oria,(I-11),Chocobo Renter at Chocobo Stables,Rents chocobo for exploring West/East Ronfaure & Jugner
Chocobo,Meuneille,Southern San d'Oria,(I-11),Chocobo Renter at Chocobo Stables,Rents chocobo for exploring West/East Ronfaure & Jugner
Chocobo,Kuoh Rhel,Windurst Woods,(G-8),Chocobo attendant at Chocobo Stables,Rents chocobo for exploring East/West Sarutabaruta
Chocobo,Bin Stejihna,Windurst Woods,(G-8),Chocobo Renter (Mithra) at Chocobo Stables,Rents chocobo for exploring East/West Sarutabaruta
Chocobo,Chocobo Renter,Bastok Mines,(I-9),Chocobo Renter at Chocobo Stables,Rents chocobo for exploring North/South Gustaberg
Chocobo,Chocobo Renter,Port Jeuno,(I-9),Chocobo Renter at Port Jeuno Chocobo Alley,Rents chocobo for exploring Batallia Downs / Rolanberry / Sauromugue
Chocobo,Chocobo Renter,Upper Jeuno,(F-6),Chocobo Renter at Chocobo Stables (Upper),Rents chocobo for exploring surrounding areas
Chocobo,Chocobo Renter,Lower Jeuno,(H-8),Chocobo Renter at Chocobo Alley,Rents chocobo for exploring surrounding areas
Chocobo,Finbarr,Upper Jeuno,(G-7),Chocobo mating / egg NPC at Chocobo Stables,Chocobo Raising services
Chocobo,Guinavie,Rabao,(G-10),Chocobo Renter,Rents chocobo for Western Altepa Desert
Chocobo,Marilleune,Norg,(H-9),Chocobo Renter,Rents chocobo for Sea Serpent Grotto entry area
Chocobo,Fyi Chalmwoh,Kazham,(G-7),Chocobo Renter (Mithra) near Yuhtunga Jungle zone,Rents chocobo for Yuhtunga / Yhoator Jungle
Chocobo,Dahaaba,Al Zahbi,(G-9),Chocobo Renter (Aht Urhgan region),Rents chocobo for Wajaom / Bhaflau areas
Chocobo,Chocobo Tamer,Abyssea - Attohwa,(F-8),Chocobo Tamer NPC (Cruor merchant),Chocobo rental / Cruor-based chocobo services
Chocobo,Chocobo Tamer,Abyssea - Vunkerl,(I-9),Chocobo Tamer NPC (Cruor merchant),Chocobo rental / Cruor-based chocobo services
Chocobo,Chocobo Tamer,Abyssea - Misareaux,(I-7),Chocobo Tamer NPC (Cruor merchant),Chocobo rental / Cruor-based chocobo services
